Id;Class.Method;Description
0x005e;ParameterConvert.ToDecimal;value is null.
0x005f;ParameterConvert.ToDecimal;value string does not represent a decimal.
0x0060;ParameterConvert.ToDecimal;enumType is null.
0x0061;ParameterConvert.ToDecimal;enumType is not an enumeration.
0x0062;ParameterConvert.ToDecimal;value is null.
0x0063;ParameterConvert.ToDecimal;value string does not represent a value of the enumeration.
0x0064;ParameterConvert.ToGuid;value is null.
0x0065;ParameterConvert.ToGuid;value string does not represent a Guid.
0x0066;ParameterConvert.ToInt16;value is null.
0x0067;ParameterConvert.ToInt16;value string does not represent a Int16.
0x0068;ParameterConvert.ToInt32;value is null.
0x0069;ParameterConvert.ToInt32;value string does not represent a Int32.
0x006a;ParameterConvert.ToInt64;value is null.
0x006b;ParameterConvert.ToInt64;value string does not represent a Int64.
0x006c;ParameterConvert.ToTimeSpan;value is null.
0x006d;ParameterConvert.ToTimeSpan;value string does not represent a TimeSpan.
0x006e;ParameterConvert.ToUInt16;value is null.
0x006f;ParameterConvert.ToUInt16;value string does not represent a UInt16.
0x0070;ParameterConvert.ToUInt32;value is null.
0x0071;ParameterConvert.ToUInt32;value string does not represent a UInt32.
0x0072;ParameterConvert.ToUInt64;value is null.
0x0073;ParameterConvert.ToUInt64;value string does not represent a UInt64.
0x0074;ParameterConvert.ToUri;value is null.
0x0075;ParameterConvert.ToUri;value string does not represent a Uri.
0x0076;ParameterConvert.ToUri;value is null.
0x0077;ParameterConvert.ToUri;value string does not represent a Version.
0x0078;ParameterConvert.ToSByte;value is null.
0x0079;ParameterConvert.ToSByte;value string does not represent a signed byte.
0x007a;ParameterConvert.ToString(object,ParameterDataype,IList);data type is not supported.
0x007b;ParameterConvert.ToString(object,ParameterDataype,IList);value type does not match parameter data type.
0x007c;ParameterConvert.ToDataType;No TypeConstraint found to deduce the type of enumeration.
0x007d;ParameterConvert.ToDataType;A TypeConstraint was found, but the type of the enumeration could not be resolved.
0x007e;ParameterConvert.ToDataType;No TypeConstraint found to deduce the type of the XML-serialized object.
0x007f;ParameterConvert.ToDataType;A TypeConstraint was found, but the type of the XML-serialized object could not be resolved.
0x0080;ParameterConvert.ToDataType;data type is not supported.
0x0081;ParameterConvert.FromXml;value is null.
0x0082;ParameterConvert.FromXml;type is null.
0x0083;ParameterConvert.FromXml;value cannot be deserialized into an instance of type.
0x0084;ParameterConvert.ToXml;value cannot be serialized into an XML string.
0x0085;HostnameConstraint.Validate;value is empty.
0x0086;HostnameConstraint.Validate;Not a valid host name or IP address.
0x0087;EndpointConstraint.Validate;value is empty.
0x0088;EndpointConstraint.Validate;Not a valid host name or IP address.
0x0089;EndpointConstraint.Validate;Not a valid port number.
0x008a;ConstraintParser.Parse;String contains an empty constraint.
0x008b;ConstraintParser.Parse;At least one constraint parameter is invalid.
0x008c;ConstraintParser.Parse;Data type is none.
0x008d;ConstraintParser.Parse;Invalid character in constraint name.
0x008e;ConstraintParser.Parse;Data outside of a constraint.
0x008f;ConstraintParser.Parse;Invalid character in parameter clause.
0x0090;ConstraintParser.Parse;Unmasked character in parameter.
0x0091;ConstraintParser.Parse;Invalid character after parameter value.
0x0092;ConstraintParser.HandleUnknownConstraint;Constraint name is unknown.
0x0093;ConstraintParser.HandleUnknownConstraint;Constraint is not defined for this data type.
0x0094;Constraint.Validate;memberName is null or empty.
0x0095;Constraint.GetParameters;parameters is null.
0x0096;ParameterValidator.ValidateWithException;Validation failed.
0x0097;ConstraintAttribute.ctor;constraints are null or empty.
0x0098;ConstraintAttribute.ctor;dataType may not be None.
0x0099;ParameterValidator.Validate;dataType may not be None.
0x009a;ParameterValidator.Validate;memberName may not be null or empty.
0x009b;Constraint.GetObjectData;info is null.
0x009c;Constraint.AssertDataType;expectedTypes is null.
0x009d;ConstraintParser.Parse;Invalid character after parameters.
0x009e;ParameterValidationResult.ctor(SerializationInfo,StreamingContext);info is null.
0x009f;Constraint.OnValidation;results is null.
0x00a0;Constraint.OnValidation;value is null.
0x00a1;ConstraintParser.Parse;Last constraint is incomplete.
0x00a2;ParameterValidationResult.ctor;validationResult is null.
0x00a3;DisplayHintConstraint.ctor(string);parameter is null or empty.
0x00a4;DisplayHintConstraint.ctor(IEnumerable<string>);parameters is null.
0x00a5;DisplayHintConstraint.CheckParameters;No parameters provided.
0x00a6;DisplayHintConstraint.CheckParameters;At least one parameter is null, empty or whitespace.
0x00a7;ParameterConvert.ExamineEnumeration;type is null.
0x00a8;ParameterConvert.ExamineEnumeration;type is not an enumeration.

